issue,budget,chosen_family,cost,family_stat_score,family_proxy_score,expected_profit_ratio,predicted_gate_roi,gate_confidence,chosen_policy,policy_score,chosen_profile,nested_validation_pass,nested_validation_mode,nested_validation_score,nested_validation_reason,hit_validation_pass,hit_validation_score,winning_issue,value_hit_issue,strong_hit_issue,winning_ticket_count,total_return,total_profit,max_red_hits,blue_hit_tickets,avg_match_score,top_red_source,top_blue_source,red_similarity_peak,blue_similarity_peak,actual_reds,actual_blue
2020018,10,hold,0,0.0,0.0,,-0.15,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,05 07 08 11 17 22,13
2020018,50,hold,0,0.0,0.0,,-0.15,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,05 07 08 11 17 22,13
2020018,100,hold,0,0.0,0.0,,-0.15,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,05 07 08 11 17 22,13
2020018,200,hold,0,0.0,0.0,,-0.15,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,05 07 08 11 17 22,13
2020018,500,hold,0,0.0,0.0,,-0.15,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,05 07 08 11 17 22,13
2020018,1000,hold,0,0.0,0.0,,-0.15,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,05 07 08 11 17 22,13
2020019,10,hold,0,0.0,0.0,,-0.716667,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,15 19 27 28 30 33,03
2020019,50,hold,0,0.0,0.0,,-0.636914,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,15 19 27 28 30 33,03
2020019,100,hold,0,0.0,0.0,,-0.716667,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,15 19 27 28 30 33,03
2020019,200,hold,0,0.0,0.0,,-0.716667,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,15 19 27 28 30 33,03
2020019,500,hold,0,0.0,0.0,,-0.716667,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,15 19 27 28 30 33,03
2020019,1000,hold,0,0.0,0.0,,-0.716667,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,15 19 27 28 30 33,03
2020020,10,hold,0,0.0,0.0,,-0.480556,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,01 06 09 13 15 22,14
2020020,50,hold,0,0.0,0.0,,-0.575499,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,01 06 09 13 15 22,14
2020020,100,hold,0,0.0,0.0,,-0.559429,,nested_validation::hold,0.0,hold,False,,,,False,,0,0,0,0,0,0,0,0,0.0,heuristic,heuristic,1.0,1.0,01 06 09 13 15 22,14
